# condition gf theorygf
1.000000000000000048e-04 2.365112304687500000e-04 2.000000000000000096e-04
1.930697728883249591e-04 4.043579101562500000e-04 3.861395457766499183e-04
3.727593720314937870e-04 7.553100585937500000e-04 7.455187440629875741e-04
7.196856730011521675e-04 1.441955566406250000e-03 1.439371346002304335e-03
1.389495494373137402e-03 2.784729003906250000e-03 2.778990988746274805e-03
2.682695795279724585e-03 5.363464355468750000e-03 5.365391590559449170e-03
5.179474679231212825e-03 1.035308837890625000e-02 1.035894935846242565e-02
1.000000000000000021e-02 1.999664306640625000e-02 2.000000000000000042e-02
1.930697728883249559e-02 3.861236572265625000e-02 3.861395457766499117e-02
3.727593720314938130e-02 7.454681396484375000e-02 7.455187440629876261e-02
7.196856730011513825e-02 1.439437866210937500e-01 1.439371346002302765e-01
1.389495494373137463e-01 2.779006958007812500e-01 2.778990988746274926e-01
2.682695795279724793e-01 5.365371704101562500e-01 5.365391590559449586e-01
5.179474679231207412e-01 1.035896301269531250e+00 1.035894935846241482e+00
1.000000000000000000e+00 1.999992370605468750e+00 2.000000000000000000e+00
